カテゴリ: すべてのカテゴリ

週,python: (日本)
2014-11-16,23
2014-11-23,23
2014-11-30,24
2014-12-07,23
2014-12-14,23
2014-12-21,21
2014-12-28,12
2015-01-04,23
2015-01-11,23
2015-01-18,23
2015-01-25,23
2015-02-01,23
2015-02-08,21
2015-02-15,23
2015-02-22,23
2015-03-01,22
2015-03-08,22
2015-03-15,22
2015-03-22,22
2015-03-29,22
2015-04-05,23
2015-04-12,26
2015-04-19,23
2015-04-26,21
2015-05-03,17
2015-05-10,23
2015-05-17,24
2015-05-24,23
2015-05-31,23
2015-06-07,24
2015-06-14,24
2015-06-21,25
2015-06-28,24
2015-07-05,25
2015-07-12,22
2015-07-19,22
2015-07-26,21
2015-08-02,24
2015-08-09,17
2015-08-16,21
2015-08-23,22
2015-08-30,22
2015-09-06,22
2015-09-13,23
2015-09-20,16
2015-09-27,21
2015-10-04,24
2015-10-11,23
2015-10-18,26
2015-10-25,27
2015-11-01,27
2015-11-08,27
2015-11-15,27
2015-11-22,26
2015-11-29,29
2015-12-06,29
2015-12-13,28
2015-12-20,27
2015-12-27,19
2016-01-03,35
2016-01-10,37
2016-01-17,40
2016-01-24,39
2016-01-31,38
2016-02-07,30
2016-02-14,37
2016-02-21,41
2016-02-28,39
2016-03-06,38
2016-03-13,39
2016-03-20,34
2016-03-27,34
2016-04-03,37
2016-04-10,41
2016-04-17,41
2016-04-24,39
2016-05-01,28
2016-05-08,43
2016-05-15,41
2016-05-22,44
2016-05-29,42
2016-06-05,42
2016-06-12,43
2016-06-19,44
2016-06-26,45
2016-07-03,41
2016-07-10,39
2016-07-17,35
2016-07-24,37
2016-07-31,38
2016-08-07,30
2016-08-14,29
2016-08-21,38
2016-08-28,37
2016-09-04,39
2016-09-11,38
2016-09-18,30
2016-09-25,41
2016-10-02,39
2016-10-09,38
2016-10-16,44
2016-10-23,44
2016-10-30,40
2016-11-06,45
2016-11-13,47
2016-11-20,43
2016-11-27,49
2016-12-04,50
2016-12-11,49
2016-12-18,42
2016-12-25,34
2017-01-01,32
2017-01-08,46
2017-01-15,56
2017-01-22,52
2017-01-29,48
2017-02-05,50
2017-02-12,49
2017-02-19,49
2017-02-26,47
2017-03-05,48
2017-03-12,45
2017-03-19,42
2017-03-26,47
2017-04-02,46
2017-04-09,51
2017-04-16,55
2017-04-23,53
2017-04-30,35
2017-05-07,54
2017-05-14,51
2017-05-21,52
2017-05-28,52
2017-06-04,56
2017-06-11,58
2017-06-18,54
2017-06-25,55
2017-07-02,54
2017-07-09,55
2017-07-16,51
2017-07-23,54
2017-07-30,53
2017-08-06,45
2017-08-13,39
2017-08-20,52
2017-08-27,53
2017-09-03,56
2017-09-10,56
2017-09-17,50
2017-09-24,57
2017-10-01,59
2017-10-08,54
2017-10-15,64
2017-10-22,60
2017-10-29,58
2017-11-05,66
2017-11-12,72
2017-11-19,66
2017-11-26,70
2017-12-03,72
2017-12-10,74
2017-12-17,79
2017-12-24,59
2017-12-31,39
2018-01-07,64
2018-01-14,72
2018-01-21,67
2018-01-28,70
2018-02-04,72
2018-02-11,62
2018-02-18,70
2018-02-25,67
2018-03-04,65
2018-03-11,64
2018-03-18,59
2018-03-25,65
2018-04-01,67
2018-04-08,70
2018-04-15,78
2018-04-22,74
2018-04-29,42
2018-05-06,72
2018-05-13,76
2018-05-20,81
2018-05-27,77
2018-06-03,79
2018-06-10,79
2018-06-17,75
2018-06-24,79
2018-07-01,72
2018-07-08,74
2018-07-15,66
2018-07-22,73
2018-07-29,74
2018-08-05,72
2018-08-12,55
2018-08-19,72
2018-08-26,72
2018-09-02,73
2018-09-09,78
2018-09-16,67
2018-09-23,70
2018-09-30,77
2018-10-07,72
2018-10-14,80
2018-10-21,86
2018-10-28,82
2018-11-04,87
2018-11-11,86
2018-11-18,75
2018-11-25,87
2018-12-02,82
2018-12-09,82
2018-12-16,77
2018-12-23,60
2018-12-30,31
2019-01-06,80
2019-01-13,70
2019-01-20,80
2019-01-27,82
2019-02-03,79
2019-02-10,70
2019-02-17,79
2019-02-24,74
2019-03-03,74
2019-03-10,72
2019-03-17,65
2019-03-24,71
2019-03-31,74
2019-04-07,79
2019-04-14,82
2019-04-21,81
2019-04-28,36
2019-05-05,75
2019-05-12,85
2019-05-19,87
2019-05-26,92
2019-06-02,92
2019-06-09,92
2019-06-16,93
2019-06-23,93
2019-06-30,88
2019-07-07,90
2019-07-14,79
2019-07-21,82
2019-07-28,82
2019-08-04,82
2019-08-11,56
2019-08-18,83
2019-08-25,85
2019-09-01,91
2019-09-08,86
2019-09-15,76
2019-09-22,79
2019-09-29,89
2019-10-06,87
2019-10-13,81
2019-10-20,78
2019-10-27,91
2019-11-03,84
2019-11-10,100
